DATA,RAINFALL,EI30,FRACIONADO,RAZAO_EROSIVA,TIPO_CHUVA,DURACAO_ESTIMADA,INTENSIDADE_MEDIA
2023-07-01,222.6000,478.9856,0.0583,2.1518,TORRENCIAL,32.3563,412.7793
2023-08-01,116.8000,131.5988,0.0133,1.1267,TORRENCIAL,50.2240,139.5348
2023-09-01,46.2000,19.1583,0.0057,0.4147,PROLONGADA,215.6948,12.8515
2023-10-01,36.4000,11.3138,0.0010,0.3108,PROLONGADA,177.4790,12.3057
2023-12-01,21.8000,3.4819,-0.0020,0.1597,PROLONGADA,129.1386,10.1287
2024-01-01,60.4000,34.0264,0.0237,0.5634,PROLONGADA,193.2535,18.7526
2024-02-01,37.2000,11.8778,0.0390,0.3193,PROLONGADA,215.6788,10.3487
2024-03-01,162.2000,254.2638,0.2127,1.5676,TORRENCIAL,50.2800,193.5561
2024-04-01,156.0000,235.1786,0.0033,1.5076,TORRENCIAL,44.6117,209.8104
2024-05-01,396.8000,1522.0190,0.0650,3.8357,TORRENCIAL,42.6960,557.6167
2024-06-01,341.2000,1125.3686,0.0073,3.2983,TORRENCIAL,34.0357,601.4854
2024-07-01,149.6000,216.2537,0.0030,1.4455,TORRENCIAL,34.5906,259.4926
2024-08-01,95.8000,88.1862,0.0033,0.9205,TORRENCIAL,47.0901,122.0638
2024-09-01,5.8000,0.1500,0.0013,0.0259,PROLONGADA,165.8996,2.0977
2024-10-01,19.0000,2.5180,0.0000,0.1325,PROLONGADA,135.7499,8.3978
2024-11-01,11.8000,0.8088,0.0057,0.0685,PROLONGADA,202.6895,3.4930
2024-12-01,13.8000,1.1761,0.0020,0.0852,PROLONGADA,135.5993,6.1062
2025-01-01,80.0000,61.0508,0.0107,0.7631,PROLONGADA,216.8109,22.1391
2025-02-01,34.0000,9.7048,0.0143,0.2854,PROLONGADA,138.9688,14.6796
2025-03-01,89.4000,76.6227,0.0243,0.8571,TORRENCIAL,35.4038,151.5092
2025-04-01,112.0000,120.9358,0.0353,1.0798,TORRENCIAL,49.1659,136.6800
2025-05-01,359.0000,1245.8497,0.0000,3.4703,TORRENCIAL,57.0384,377.6401
