,inicio,fim,duracao,precipitacao_total,intensidade_max
0,2006-03-20,2006-03-20,1,17.62459692114802,17.62459692114802
1,2006-03-24,2006-03-24,1,17.17433989159215,17.17433989159215
2,2006-04-01,2006-04-02,2,50.4,25.2
3,2006-04-12,2006-04-12,1,25.2,25.2
4,2006-04-17,2006-04-18,2,43.25511797101437,23.1527812237854
5,2006-05-06,2006-05-06,1,24.558308080967944,24.558308080967944
6,2006-05-14,2006-05-14,1,15.52044988153154,15.52044988153154
7,2006-05-18,2006-05-18,1,26.96905200262608,26.96905200262608
8,2006-05-21,2006-05-21,1,29.7,29.7
9,2006-05-27,2006-05-27,1,29.7,29.7
10,2006-06-09,2006-06-09,1,21.3,21.3
11,2006-06-20,2006-06-20,1,21.3,21.3
12,2006-06-23,2006-06-23,1,17.640212239158007,17.640212239158007
13,2006-07-09,2006-07-09,1,17.17033045743323,17.17033045743323
14,2006-07-16,2006-07-16,1,17.25,17.25
15,2006-07-19,2006-07-19,1,17.25,17.25
16,2006-07-24,2006-07-24,1,15.555561287806588,15.555561287806588
17,2006-07-27,2006-07-27,1,17.25,17.25
18,2007-03-03,2007-03-03,1,18.3,18.3
19,2007-03-12,2007-03-12,1,18.3,18.3
20,2007-03-19,2007-03-19,1,18.3,18.3
21,2007-03-31,2007-03-31,1,15.580617474668466,15.580617474668466
22,2007-04-14,2007-04-14,1,25.2,25.2
23,2007-04-20,2007-04-20,1,25.2,25.2
24,2007-04-27,2007-04-27,1,25.2,25.2
25,2007-05-01,2007-05-01,1,18.360643708243018,18.360643708243018
26,2007-05-14,2007-05-14,1,29.7,29.7
27,2007-05-21,2007-05-21,1,16.23122346949911,16.23122346949911
28,2007-05-30,2007-05-30,1,29.7,29.7
29,2007-06-18,2007-06-19,2,42.6,21.3
30,2007-07-14,2007-07-14,1,15.726404503264405,15.726404503264405
31,2008-03-25,2008-03-25,1,18.126588203138628,18.126588203138628
32,2008-04-01,2008-04-01,1,25.2,25.2
33,2008-04-18,2008-04-18,1,25.2,25.2
34,2008-04-20,2008-04-20,1,25.2,25.2
35,2008-04-24,2008-04-24,1,17.466583188022085,17.466583188022085
36,2008-05-06,2008-05-06,1,29.7,29.7
37,2008-05-15,2008-05-15,1,18.73594111658384,18.73594111658384
38,2008-05-29,2008-05-29,1,22.838118717218283,22.838118717218283
39,2008-05-31,2008-05-31,1,26.10459730422387,26.10459730422387
40,2008-06-04,2008-06-04,1,21.3,21.3
41,2008-06-10,2008-06-10,1,17.86381490343697,17.86381490343697
42,2008-06-12,2008-06-12,1,21.3,21.3
43,2008-06-15,2008-06-15,1,21.2371496172566,21.2371496172566
44,2008-06-19,2008-06-19,1,21.3,21.3
45,2008-06-21,2008-06-21,1,21.3,21.3
46,2008-06-26,2008-06-26,1,15.9749140990296,15.9749140990296
47,2008-07-10,2008-07-10,1,17.25,17.25
48,2009-03-04,2009-03-04,1,18.3,18.3
49,2009-03-08,2009-03-08,1,18.3,18.3
50,2009-03-10,2009-03-10,1,18.3,18.3
51,2009-03-17,2009-03-17,1,18.3,18.3
52,2009-03-24,2009-03-24,1,18.3,18.3
53,2009-04-11,2009-04-11,1,25.2,25.2
54,2009-04-16,2009-04-16,1,22.32700785777704,22.32700785777704
55,2009-04-19,2009-04-19,1,25.2,25.2
56,2009-04-24,2009-04-24,1,25.07100135611159,25.07100135611159
57,2009-05-18,2009-05-18,1,29.7,29.7
58,2009-05-21,2009-05-21,1,26.68457011689303,26.68457011689303
59,2009-05-23,2009-05-23,1,19.10718819544473,19.10718819544473
60,2009-05-25,2009-05-25,1,18.63952592141786,18.63952592141786
61,2009-05-30,2009-05-30,1,18.605260632197574,18.605260632197574
62,2009-06-03,2009-06-03,1,21.3,21.3
63,2009-06-06,2009-06-06,1,17.76813314322172,17.76813314322172
64,2009-06-11,2009-06-12,2,35.848825825131584,19.25183472774333
65,2009-06-26,2009-06-26,1,15.917074109941476,15.917074109941476
66,2009-06-30,2009-07-01,2,38.55,21.3
67,2009-07-16,2009-07-16,1,17.25,17.25
68,2010-03-02,2010-03-02,1,17.798101795083983,17.798101795083983
69,2010-03-09,2010-03-09,1,18.3,18.3
70,2010-04-12,2010-04-12,1,16.33815826266525,16.33815826266525
71,2010-05-12,2010-05-12,1,28.69858347007078,28.69858347007078
72,2010-05-18,2010-05-18,1,29.7,29.7
73,2010-05-24,2010-05-24,1,29.7,29.7
74,2010-06-05,2010-06-05,1,21.23694792307128,21.23694792307128
75,2010-06-22,2010-06-22,1,21.3,21.3
76,2010-07-15,2010-07-15,1,15.615359746069414,15.615359746069414
77,2011-03-05,2011-03-05,1,17.94026975115624,17.94026975115624
78,2011-03-07,2011-03-07,1,18.3,18.3
79,2011-04-03,2011-04-04,2,50.4,25.2
80,2011-04-07,2011-04-07,1,22.11843872659073,22.11843872659073
81,2011-04-12,2011-04-12,1,23.99249086780412,23.99249086780412
82,2011-04-21,2011-04-21,1,21.056684518217484,21.056684518217484
83,2011-05-03,2011-05-03,1,29.7,29.7
84,2011-05-14,2011-05-14,1,23.56815838683476,23.56815838683476
85,2011-05-29,2011-05-29,1,16.35263896494844,16.35263896494844
86,2011-06-06,2011-06-06,1,21.3,21.3
87,2011-07-30,2011-07-30,1,17.25,17.25
88,2012-03-03,2012-03-03,1,18.3,18.3
89,2012-03-12,2012-03-12,1,15.51600045526246,15.51600045526246
90,2012-03-21,2012-03-21,1,16.484975012603133,16.484975012603133
91,2012-04-04,2012-04-04,1,22.249415621789648,22.249415621789648
92,2012-04-21,2012-04-21,1,19.51487923205348,19.51487923205348
93,2012-05-06,2012-05-07,2,32.86922997721017,16.827012094557173
94,2012-05-10,2012-05-11,2,39.26845757302175,22.7974406486389
95,2012-05-15,2012-05-15,1,21.886196285191144,21.886196285191144
96,2012-05-24,2012-05-24,1,19.50414014463529,19.50414014463529
97,2012-05-29,2012-05-31,3,80.10473107734768,29.7
98,2012-06-17,2012-06-17,1,21.3,21.3
99,2012-06-24,2012-06-25,2,40.81322956916085,21.3
100,2012-06-30,2012-06-30,1,21.3,21.3
101,2012-07-03,2012-07-03,1,17.25,17.25
102,2012-07-11,2012-07-11,1,17.25,17.25
103,2012-07-30,2012-07-30,1,16.213177515356087,16.213177515356087
104,2013-03-08,2013-03-08,1,18.3,18.3
105,2013-03-11,2013-03-12,2,36.6,18.3
106,2013-03-22,2013-03-23,2,36.48758588468657,18.3
107,2013-04-07,2013-04-07,1,25.2,25.2
108,2013-04-12,2013-04-12,1,18.069508714649512,18.069508714649512
109,2013-04-30,2013-04-30,1,25.2,25.2
110,2013-05-22,2013-05-22,1,26.601782523129007,26.601782523129007
111,2013-05-30,2013-05-31,2,51.06677167194789,29.7
112,2013-06-11,2013-06-11,1,21.3,21.3
113,2013-06-15,2013-06-15,1,21.3,21.3
114,2013-06-19,2013-06-19,1,16.158865295664157,16.158865295664157
115,2013-06-22,2013-06-22,1,21.3,21.3
116,2013-07-05,2013-07-05,1,17.25,17.25
117,2013-07-18,2013-07-18,1,17.25,17.25
118,2013-07-20,2013-07-20,1,17.25,17.25
119,2014-03-02,2014-03-02,1,18.226534753287496,18.226534753287496
120,2014-03-12,2014-03-12,1,17.147972894014035,17.147972894014035
121,2014-03-20,2014-03-20,1,18.3,18.3
