year,veg_factor,bamboo_factor_p90,bamboo_factor_p95,capacity_rel_p90,capacity_rel_p95
0,0.19781611144141825,1.0,1.0,1.118689666864851,1.118689666864851
1,0.3318122278318339,0.9231163463866358,0.8958341352965282,1.1068971212521552,1.0741833674168555
2,0.5,0.8521437889662113,0.8025187979624785,1.1077869256560748,1.0432744373512222
3,0.6681877721681662,0.7866278610665535,0.7189237334319262,1.1019969318734355,1.0071493621123457
4,0.8021838885585817,0.7261490370736909,0.6440364210831414,1.0756520720133966,0.9540178054658373
5,0.8909031788043871,0.6703200460356393,0.5769498103804866,1.0286342019333117,0.8853536624276249
6,0.9426758241011313,0.6187833918061408,0.5168513344916992,0.968770678092709,0.8091852890995384
7,0.9706877692486436,0.5712090638488149,0.46301306831122807,0.9038884550260222,0.7326777417584256
8,0.9852259683067269,0.5272924240430485,0.4147829116815814,0.8389937374782168,0.6599758491607232
9,0.9926084586557181,0.4867522559599717,0.3715766910220457,0.7766448998813442,0.5928747909507165
10,0.9963157601005641,0.44932896411722156,0.33287108369807955,0.7179330811690108,0.53185790776017
