year,scenario,k_year,strength_factor,tensile_strength_mpa,density_g_cm3,modulus_elasticity_gpa,source
0,optimistic,0.03,1.0,180.0,0.68,12.0,default_literature_typical_range
1,optimistic,0.03,0.9704455335485082,174.68019603873148,0.68,12.0,default_literature_typical_range
2,optimistic,0.03,0.9417645335842487,169.51761604516477,0.68,12.0,default_literature_typical_range
3,optimistic,0.03,0.9139311852712282,164.50761334882108,0.68,12.0,default_literature_typical_range
4,optimistic,0.03,0.8869204367171575,159.64567860908835,0.68,12.0,default_literature_typical_range
5,optimistic,0.03,0.8607079764250578,154.92743575651042,0.68,12.0,default_literature_typical_range
6,optimistic,0.03,0.835270211411272,150.34863805402895,0.68,12.0,default_literature_typical_range
7,optimistic,0.03,0.8105842459701871,145.90516427463368,0.68,12.0,default_literature_typical_range
8,optimistic,0.03,0.7866278610665535,141.59301499197963,0.68,12.0,default_literature_typical_range
9,optimistic,0.03,0.7633794943368531,137.40830898063356,0.68,12.0,default_literature_typical_range
10,optimistic,0.03,0.7408182206817179,133.34727972270923,0.68,12.0,default_literature_typical_range
0,baseline,0.06,1.0,180.0,0.68,12.0,default_literature_typical_range
1,baseline,0.06,0.9417645335842487,169.51761604516477,0.68,12.0,default_literature_typical_range
2,baseline,0.06,0.8869204367171575,159.64567860908835,0.68,12.0,default_literature_typical_range
3,baseline,0.06,0.835270211411272,150.34863805402895,0.68,12.0,default_literature_typical_range
4,baseline,0.06,0.7866278610665535,141.59301499197963,0.68,12.0,default_literature_typical_range
5,baseline,0.06,0.7408182206817179,133.34727972270923,0.68,12.0,default_literature_typical_range
6,baseline,0.06,0.697676326071031,125.58173869278559,0.68,12.0,default_literature_typical_range
7,baseline,0.06,0.6570468198150567,118.26842756671022,0.68,12.0,default_literature_typical_range
8,baseline,0.06,0.6187833918061408,111.38101052510535,0.68,12.0,default_literature_typical_range
9,baseline,0.06,0.5827482523739896,104.89468542731814,0.68,12.0,default_literature_typical_range
10,baseline,0.06,0.5488116360940265,98.78609449692478,0.68,12.0,default_literature_typical_range
0,pessimistic,0.1,1.0,180.0,0.68,12.0,default_literature_typical_range
1,pessimistic,0.1,0.9048374180359595,162.87073524647272,0.68,12.0,default_literature_typical_range
2,pessimistic,0.1,0.8187307530779818,147.37153555403674,0.68,12.0,default_literature_typical_range
3,pessimistic,0.1,0.7408182206817179,133.34727972270923,0.68,12.0,default_literature_typical_range
4,pessimistic,0.1,0.6703200460356393,120.65760828641508,0.68,12.0,default_literature_typical_range
5,pessimistic,0.1,0.6065306597126334,109.17551874827402,0.68,12.0,default_literature_typical_range
6,pessimistic,0.1,0.5488116360940264,98.78609449692475,0.68,12.0,default_literature_typical_range
7,pessimistic,0.1,0.49658530379140947,89.38535468245371,0.68,12.0,default_literature_typical_range
8,pessimistic,0.1,0.44932896411722156,80.87921354109989,0.68,12.0,default_literature_typical_range
9,pessimistic,0.1,0.4065696597405991,73.18253875330784,0.68,12.0,default_literature_typical_range
10,pessimistic,0.1,0.36787944117144233,66.21829941085961,0.68,12.0,default_literature_typical_range
